case_id,dice,iou,precision,recall,tp,fp,fn,pred_area,ref_area,pred_components,ref_components
0870165,0.9525487650313765,0.9093967654350136,0.9662590153653183,0.9392221409412338,15407,538,997,15945,16404,6,6
0873166,0.9504759115536682,0.9056256278602522,0.9606891243857676,0.9404775704184537,16227,664,1027,16891,17254,6,6
0875166,0.9526878674127063,0.9096503685669846,0.9681854171165335,0.9376786336702684,13451,442,894,13893,14345,6,6
0876166,0.9569153280696978,0.917389885807504,0.9532171672655774,0.9606422958660745,14059,690,576,14749,14635,6,6
0887171,0.9561878790053464,0.9160536266758336,0.9720580725176917,0.9408275667278633,13324,383,838,13707,14162,6,6
0892173,0.9629659941891394,0.9285770657406677,0.9716739615162276,0.9544127190136276,11766,343,562,12109,12328,6,6
0894174,0.9546498277841562,0.9132344865458539,0.9551981619758759,0.9541021227768216,14967,702,720,15669,15687,6,6
0897176,0.9629212216837597,0.9284938056944143,0.9662972178240217,0.9595687331536388,12816,447,540,13263,13356,6,6
0901020,0.9663501063075832,0.9348911195216938,0.9741098474024118,0.9587130160872989,17044,453,734,17497,17778,6,6
0915022,0.9711848846506944,0.9439838802533103,0.9692616894248389,0.9731157270029673,16397,520,453,16917,16850,6,6
0916022,0.9712261385936743,0.9440618342169153,0.9724405430233745,0.9700147635289925,19054,540,589,19594,19643,6,6
0918022,0.9659668005760631,0.9341738747984166,0.9568525377915708,0.9752563644712005,19116,862,485,19978,19601,6,6
0923023,0.9649982592860394,0.9323638998137032,0.957180045688785,0.972945242466789,18017,806,501,18823,18518,6,6
0931023,0.966971572547516,0.9360551431601273,0.9722436391673092,0.9617563739376771,17654,504,702,18158,18356,6,6
0934023,0.9484536082474226,0.9019607843137255,0.9427860696517413,0.9541896995238356,17434,1058,837,18492,18271,6,6
0940024,0.9601303793282631,0.9233180393403898,0.9761310152723082,0.9446458449525934,20325,497,1191,20822,21516,6,6
0944024,0.9658412518986894,0.9339390627134855,0.9699872286079183,0.9617305663032009,13671,423,544,14094,14215,6,6
0956183,0.913873631506184,0.8414063575065364,0.8868663427369643,0.9425774626175428,12229,1560,745,13789,12974,6,6
0961024,0.9636995827538247,0.9299422896255536,0.9750228663899247,0.9526362823949955,13858,355,689,14213,14547,6,6
0964025,0.9611358440620864,0.925179522816771,0.9629201022228652,0.959358186010761,19970,769,846,20739,20816,6,6
0969025,0.9695301257586185,0.9408621736490589,0.966024562059722,0.9730612244897959,15496,545,429,16041,15925,6,6
0978025,0.952119364074393,0.9086143320449598,0.9445342446774119,0.9598272949127088,20452,1201,856,21653,21308,6,6
0984025,0.9615589460822708,0.9259639172147469,0.9853602157441891,0.938880391557051,15346,228,999,15574,16345,6,6
0996026,0.963695038321904,0.929933826391592,0.9728330424665503,0.9547271066453529,16723,467,793,17190,17516,6,6
1002026,0.9735578089369754,0.9484779731518246,0.9832418659349275,0.9640626501393293,20066,342,748,20408,20814,6,6
